鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元/平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan/square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
林口區,房地(土地+建物)+車位,新北市林口區公園路181~210號,87.05,住,,,1050909,土地1建物1車位2,二層,十層,辦公商業大樓,住商用,鋼筋混凝土造,0800727,470.39,0,0,0,無,有,35000000,74406,坡道平面,67.18,0,,RPROMLQKJILFFBF08CA
新莊區,房地(土地+建物)+車位,新北市泰山區信華六街1~30號,20.84,住,,,1050926,土地2建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020812,139.42,2,2,2,有,有,13000000,93243,坡道平面,33.77,0,,RPWNMLMLJILFFBF18CA
新莊區,房地(土地+建物)+車位,新北市新莊區新北大道四段61~90號,21.02,商,,,1050920,土地1建物1車位1,二十一層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050323,189.78,2,2,2,有,有,29960000,187304,坡道平面,39.97,1900000,,RPVNMLNLJILFFBF18CA
林口區,房地(土地+建物),新北市林口區中正路57巷12弄1~30號,46.43,商,,,1051006,土地2建物1車位0,一層，平台，停車場,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0690417,108.6,2,1,1,有,無,6650000,61234,,0.0,0,,RPVOMLSLJILFFBF78CA
林口區,房地(土地+建物)+車位,新北市林口區南勢街1~30號,24.97,住,,,1050926,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040819,192.20999999999998,4,2,2,有,有,15530000,87064,坡道平面,30.49,1450000,,RPTPMLSLJILFFBF68CA
林口區,房地(土地+建物)+車位,新北市林口區民富街181~210號,32.62,商,,,1050925,土地1建物1車位2,三層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031125,418.86,4,2,3,有,有,38870000,92800,坡道平面,49.16,0,,RPVOMLLJKILFFBF97CA
五股區,房地(土地+建物)+車位,新北市五股區登林路貿商巷2弄1~30號,28.48,住,,,1050926,土地2建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0910731,166.81,3,2,2,有,有,8700000,52155,坡道平面,0.0,0,,RPQQMLTJKILFFBF48CA
新店區,房地(土地+建物)+車位,新北市新店區安興路61~90號,26.86,工,,,1050801,土地3建物1車位1,一層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0970201,138.35,2,2,1,有,有,10430000,75389,坡道平面,34.96,0,含增建或未登記建物。;含增建或未登記建物。內含獨立產權公設，未包含在棟數內。,RPWNMLMJJILFFCF08CA
新店區,土地,安城段181~210地號,48.29,其他,,,1051024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3130000,64817,,0.0,0,(包含)公共設施保留地之交易。,RPTOMLMJJILFFCF87CA
深坑區,土地,阿柔坑段炮子崙小段91~120地號,2271.5,,山坡地保育區,農牧用地,1050921,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,880,,0.0,0,,RPVOMLNJJILFFCF18CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,18.2,住,,,1051019,土地1建物1車位3,五層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,227.99,4,2,2,有,有,24660000,108163,坡道機械,34.53,0,,RPPNMLMKJILFFCF47CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,17.74,住,,,1051019,土地1建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,218.48000000000002,4,2,2,有,有,24450000,111910,坡道平面,25.01,0,,RPQNMLMKJILFFCF57CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,17.74,住,,,1051019,土地1建物1車位1,十九層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,218.66,3,2,3,有,有,25800000,117991,坡道平面,25.01,0,,RPRNMLMKJILFFCF67CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,17.74,住,,,1051019,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,218.48000000000002,4,2,2,有,有,25440000,116441,坡道平面,25.01,0,,RPSNMLMKJILFFCF77CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,17.97,住,,,1051019,土地1建物1車位2,二十一層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,243.49,4,2,2,有,有,26980000,110805,坡道平面,50.02,0,,RPTNMLMKJILFFCF87CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,17.97,住,,,1051019,土地1建物1車位2,二十二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,243.49,3,2,2,有,有,26980000,110805,坡道平面,50.02,0,,RPUNMLMKJILFFCF97CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,27.3,住,,,1051019,土地1建物1車位2,二十三層，二十四層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,355.12,5,2,2,有,有,34794000,97978,坡道平面,43.28,0,,RPVNMLMKJILFFCF08CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,17.52,住,,,1051019,土地1建物1車位1,二十三層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,209.28,4,2,2,有,有,20620000,98528,坡道平面,21.64,0,,SPVNMLMKJILFFCF18CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,12.74,住,,,1051019,土地1建物1車位1,十九層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,157.29000000000002,3,2,2,有,有,16260000,103376,坡道平面,21.64,0,,TPVNMLMKJILFFCF28CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,17.74,住,,,1051019,土地1建物1車位2,二十二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,239.25,4,2,2,有,有,26460000,110596,坡道平面,50.02,0,,RPWNMLMKJILFFCF18CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,17.52,住,,,1051019,土地1建物1車位1,二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,213.85,4,2,2,有,有,25180000,117746,坡道平面,25.01,0,,RPXNMLMKJILFFCF28CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,12.51,住,,,1051019,土地1建物1車位1,十層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,152.48000000000002,3,2,2,有,有,19166000,125695,坡道機械,10.76,0,,SPXNMLMKJILFFCF38CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,17.52,住,,,1051019,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,210.86,4,2,2,有,有,23300000,110500,坡道平面,21.64,0,,RPOOMLMKJILFFCF47CA
新店區,房地(土地+建物),新北市新店區中興路二段31~60號,13.19,住,,,1051019,土地1建物1車位0,十三層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,136.84,3,2,2,有,有,16333000,119358,,0.0,0,,RPPOMLMKJILFFCF57CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,12.51,住,,,1051019,土地1建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,166.74,3,2,2,有,有,19166000,114945,坡道平面,25.01,0,,SPPOMLMKJILFFCF67CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,17.52,住,,,1051019,土地1建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,214.24,4,2,2,有,有,23950000,111791,坡道平面,25.01,0,,RPQOMLMKJILFFCF67CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,17.74,住,,,1051019,土地1建物1車位2,十八層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,239.25,3,2,2,有,有,25400000,106165,坡道平面,50.02,0,,RPROMLMKJILFFCF77CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,17.74,住,,,1051019,土地1建物1車位2,十九層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,235.88,3,2,3,有,有,26650000,112981,坡道平面,46.65,0,,RPSOMLMKJILFFCF87CA
